Student ID,Name,Email,Organization,Attendance
DS001,Michael Ochieng,michael@daystar.ac.ke,Daystar University,1
DS002,Sarah Mwangi,sarah@daystar.ac.ke,Daystar University,1
DS003,Peter Kamau,peter@daystar.ac.ke,Daystar University,0
DS004,Grace Wanjiru,grace@daystar.ac.ke,Daystar University,1
DS005,James Mutua,james@daystar.ac.ke,Daystar University,1
DS006,Mary Njeri,mary@daystar.ac.ke,Daystar University,0
DS007,David Kipchoge,david@daystar.ac.ke,Daystar University,1
DS008,Esther Wambui,esther@daystar.ac.ke,Daystar University,1
DS009,Paul Maina,paul@daystar.ac.ke,Daystar University,0
DS010,Ruth Atieno,ruth@daystar.ac.ke,Daystar University,1
